0,1,2,3,4,5,6,7,8,9,10,11
-0.11966482,-0.38539383,-4.5660524,0.20260127,-0.1663811,0.32956246,0.3534788,0.24324296,0.08432456,-0.4204594,0.16317944,0.13081776
-0.22087578,-0.43645322,-0.056012742,0.1457525,-0.31250152,-0.18820824,-0.1193279,0.21218096,-0.19497256,-0.07176204,-0.058895256,-0.3501468
0.044099838,-0.39527294,0.24122722,0.3546048,-0.16311775,0.07004308,0.32776555,0.1515353,-0.5820193,-0.63595,-1.0163296,-0.59542584
-0.7459131,-1.0449595,-0.25401524,-0.06831639,0.12982571,0.0050984393,0.15815797,-0.1699293,0.20534678,-0.017372508,0.19008282,-0.06656663
-0.048105363,-1.4374404,-1.2807415,0.04646178,-0.010800584,0.33701915,-0.14636542,0.22173643,0.21541381,-0.2736759,-0.37965527,0.3131751
0.017637877,0.27001485,0.034902975,-0.06924893,-0.41164607,-0.3650297,-0.46806148,0.13593957,0.24847199,0.10747772,-0.2411091,-0.056101043
0.1214814,-0.69446146,0.53706074,-0.058713768,0.5803122,-0.30970702,-0.24046758,-0.31577012,-0.31193456,-0.20739809,0.23509139,0.24253672
-1.0919752,1.3524711,0.02906414,-0.21165179,0.11157855,-0.024508603,0.08405044,0.19617113,0.03533126,-0.0988701,0.056061808,-0.06547061
1.4181646,0.323273,0.15390936,0.38967463,0.12398286,-0.034282878,-0.20576836,0.09082315,-0.089585334,-0.08173971,0.29853904,-0.07454344
-0.079149224,0.040606283,-0.07095753,-1.5770705,-0.8150076,0.50387603,1.0159177,-1.5174952,-0.6683962,-0.26221788,0.6210881,1.3738254
-1.2113633,-0.14992504,0.22209525,0.3335659,-0.020800771,0.49337438,-0.20356075,0.1625898,0.33733734,0.21371104,-0.21533321,-0.5198163
0.14437328,0.21735644,-0.33861017,-0.6554101,1.0384946,-0.5775737,-0.2090078,0.5075842,0.18484412,-0.38016465,-0.8109825,-0.95805156
-0.15248239,0.39270282,-1.0895295,0.34971026,-0.3615788,0.31370014,-0.959066,-0.315107,0.10685981,0.07872776,0.031574637,-0.12562114
-1.1681871,-0.15848607,-0.06800607,0.14279999,-0.0027611463,-0.20897527,-0.0440349,0.26990554,0.15381807,-0.1638921,-0.06986187,-0.11429386
0.13734584,0.077752285,-1.8427633,0.6390081,-0.09476914,-0.37020835,-0.14004508,0.06390635,-0.38328463,-0.02223894,0.24678898,0.10187135
0.17849909,-1.6157027,0.5647383,0.3149222,-0.1618342,0.16458797,0.6368915,0.1537849,0.06622118,-0.062073804,0.18867403,-0.010700741
0.93299174,-0.7013421,-0.30631277,-0.032870285,0.26016438,0.26578203,-0.2784377,-0.04976862,0.11740291,0.07266677,-0.09035342,-0.024453279
0.0064577027,-1.5852938,0.5881497,0.5755159,0.25594568,0.19741678,-0.9544696,-0.1938184,0.17714773,-0.044221476,-0.120343186,0.09973282
-0.76009095,0.22088529,-2.1694937,0.4149929,0.59378266,-0.23399645,-0.542671,-0.14870283,-0.15729819,0.104966655,0.0072326055,0.19271637
1.9510448,-2.0052834,-0.03273132,0.021282153,-0.034006577,0.015485291,-0.04274848,-0.04778761,0.09958197,-0.19982687,0.008960625,0.14389144
0.011641377,0.67211765,-2.557683,-0.4167153,0.29321185,0.31541938,0.100825496,-0.2374316,-0.33764207,0.19995505,0.360209,0.26732644
-1.3133168,0.17578153,-0.17562936,-0.44422466,0.12220031,0.25565916,0.0062297178,-0.28406397,0.016938675,0.20649426,0.14305235,-0.067500874
1.7534786,0.2923198,-0.024279652,-0.057190433,-0.1705178,0.1099481,0.23984277,-0.12568614,0.12722541,0.014357663,-0.051942535,-0.0075738397
0.3356622,-1.3973114,-1.2959646,-0.37375745,0.22750859,-0.045363475,-0.1692883,0.21110603,0.00040844205,-0.06961399,-0.11339451,-0.046663955
0.39992854,-0.38613322,-0.024708198,-0.26894864,0.27477953,0.34154028,-0.191103,-0.023913464,0.03752692,-0.20449078,-0.021740299,0.24380054
-0.49649823,1.160535,0.1840727,0.34838554,-0.10201264,0.1243531,-0.05083596,0.0348541,0.1393742,0.06283889,-0.24458145,-0.028813628
0.23573431,-0.11366147,-0.27760983,0.011546746,0.38205367,-0.32966718,0.16476394,0.9714488,0.2620703,-0.1274615,0.11735573,-1.4103464
1.0558395,0.56824744,0.15253378,-0.22695935,-0.03330949,-0.23670198,0.30426267,-0.02970598,-0.111376904,0.19744119,-0.117237546,0.10093395
-0.09141146,-0.44607344,0.2095729,-0.38541597,-0.27587846,-1.116981,-1.1343157,0.023463456,-0.18793559,-0.1823227,0.25247264,0.07898362
-1.420158,0.72717524,0.23381037,0.12843084,-0.2864476,-0.24909322,0.20551759,-0.38076267,-0.21353006,0.112131886,0.35665604,0.04257121
0.044339325,0.43160805,-0.56301534,-1.9064262,-1.493549,-0.70350444,0.070841946,0.36114073,0.00046001605,-0.36989978,-0.3648121,-0.2661148
0.3227332,-1.9544007,0.09438484,0.02200339,-0.15151332,0.14607853,0.066912845,-0.08197791,-0.15078607,0.29232657,0.030876957,-0.1434659
0.9652688,0.31017327,-0.082618006,-0.3579266,0.20230325,0.29749697,-0.5241913,-0.06268985,0.07316519,0.027572135,-0.044987738,-0.17326006
