mean,scale
1165.9063765412438,830.73347825598
967.1845696460258,847.7365972027329
135.80083280407212,343.3995024290796
8.628765727478868,14.262512333129177
6.544833186055146,9.41869538989361
5.587793712377799,7.411545568289354
5.012482111773634,6.324533396395283
0.3739257997866793,0.32886167367786084
0.3830229093379693,0.32192961055949354
0.38952948496870365,0.31755943366778844
0.3949589860231294,0.31446818217442224
0.39992860115823237,0.3122878093711379
753.6812667773784,944.5921125830176
3.698864967696439e-08,4.4694425623549163e-08
